AÑO,DEPTO,POBL_EDAD_TRAB,TO,TD,IND_POBR_MON,INFLACION
2019,ANTIOQUIA,81.68494683199289,55.475581363380506,11.184322355990243,,3.8
2019,ATLANTICO,80.16275427197907,58.53710555309695,7.12786099571341,,3.8
2019,BOGOTA DC,82.41197383355802,61.46795658847711,10.898997675154634,,3.8
2019,BOLIVAR,78.4131933721588,56.061538104075716,4.97841848448927,,3.8
2019,BOYACA,81.44899462314524,51.01603439738616,8.625663660753572,,3.8
2019,CALDAS,82.23141616247834,50.668045784430205,10.985462846158466,,3.8
2019,CAQUETA,76.16987058275579,50.27098217318817,11.06251762541203,,3.8
2019,CAUCA,80.3657617817834,53.09990956871163,10.162557244700439,,3.8
2019,CESAR,76.69524117921591,49.40224728888115,13.168369885559,,3.8
2019,CHOCO,73.09014030367095,39.18135728710872,12.047104657340181,,3.8
2019,CORDOBA,77.92874895523903,53.85505712492776,11.213970050514538,,3.8
2019,CUNDINAMARCA,80.37070352276639,60.621390298094866,11.012217507230398,,3.8
2019,HUILA,79.01252507905579,57.66163414756483,8.219843387200862,,3.8
2019,LA GUAJIRA,73.23037648692797,62.27674800743277,6.53803901082439,,3.8
2019,MAGDALENA,75.93666782227064,51.190967132136706,9.151242756965244,,3.8
2019,META,78.6667877313793,53.86054849859715,13.417209810942365,,3.8
2019,NARIÑO,80.23491426994926,61.79766100346982,6.341165410624231,,3.8
2019,NORTE DE SANTANDER,79.42601265150473,47.74138940051629,14.5986772703407,,3.8
2019,QUINDIO,81.57040557109038,54.04602097104504,15.15802995863299,,3.8
2019,RISARALDA,82.22383468468422,57.13464305222751,7.564298050128009,,3.8
2019,SANTANDER,82.16532068995883,60.85550195214394,9.591006586172824,,3.8
2019,SUCRE,78.63870090139923,53.86517986210501,11.188059758014123,,3.8
2019,TOLIMA,80.13801919625767,53.28751718981854,15.30206821227665,,3.8
2019,VALLE DEL CAUCA,82.17633015645715,58.830166887444065,11.89044548391661,,3.8
2018,ANTIOQUIA,81.56074816219797,55.62512678118981,10.725566244821039,21.2,3.18
2018,ATLANTICO,79.92250315211456,58.40427963071721,7.671581747566478,24.2,3.18
2018,BOGOTA DC,82.24789457928577,61.861220193502376,10.491844608520738,12.4,3.18
2018,BOLIVAR,78.22708042220529,55.858165765685136,5.8240978326145125,36.2,3.18
2018,BOYACA,81.22832606643944,55.41048430772304,7.355859385034293,26.6,3.18
2018,CALDAS,82.0633045634102,51.50454391635075,10.124307323648344,22.1,3.18
2018,CAQUETA,75.94253598553928,52.646885564323966,9.071577191358307,40.1,3.18
2018,CAUCA,80.22370113291339,55.9826497742305,8.885844918966242,50.5,3.18
2018,CESAR,76.44212227248798,49.848027301072904,11.179160988755005,42.9,3.18
2018,CHOCO,72.77237909252912,45.0416662220847,9.618730027887358,61.1,3.18
2018,CORDOBA,77.7182424638562,56.92033531514213,8.264102507614908,44.2,3.18
2018,CUNDINAMARCA,80.22554290802468,63.85359788551487,10.056922217091104,16.4,3.18
2018,HUILA,78.82657408552174,55.21579798519309,9.212819047353527,37.0,3.18
2018,LA GUAJIRA,72.91221215524006,65.45902382936528,4.573388155555172,53.7,3.18
2018,MAGDALENA,75.70346837010321,51.88701410848818,7.027231936197588,46.6,3.18
2018,META,78.47073866430608,55.18555749976185,11.862279368930581,25.4,3.18
2018,NARIÑO,80.05872510581187,61.685796507469185,6.1378497407149055,41.4,3.18
2018,NORTE DE SANTANDER,79.24630559930192,49.60716410762488,13.388654863332595,41.7,3.18
